#,Date,Transact. No,Buyer,Seller,Qty,Rate,Amount
1,2021/02/11,2021021103027869,7,51,30,162.0,4860.0
3,2021/02/11,2021021103027408,53,29,105,162.0,17010.0
5,2021/02/11,2021021103025760,34,34,410,162.0,66420.0
7,2021/02/11,2021021103024152,33,49,500,163.0,81500.0
9,2021/02/11,2021021103021849,42,41,10,162.0,1620.0
11,2021/02/11,2021021103020422,5,45,200,162.0,32400.0
13,2021/02/11,2021021103019246,58,49,30,163.0,4890.0
15,2021/02/11,2021021103018385,57,49,94,161.0,15134.0
17,2021/02/11,2021021103018381,52,49,50,161.0,8050.0
19,2021/02/11,2021021103016933,14,21,10,161.0,1610.0
21,2021/02/11,2021021103016703,17,49,200,162.0,32400.0
23,2021/02/11,2021021103016228,26,49,125,163.0,20375.0
25,2021/02/11,2021021103013878,48,21,498,162.0,80676.0
27,2021/02/11,2021021103012114,51,36,50,161.0,8050.0
29,2021/02/11,2021021103009294,45,21,240,162.0,38880.0
31,2021/02/11,2021021103006407,14,58,200,162.0,32400.0
33,2021/02/11,2021021103003414,53,35,60,163.0,9780.0
35,2021/02/11,2021021103002118,41,3,90,166.0,14940.0
37,2021/02/11,2021021103001927,33,42,500,168.0,84000.0
39,2021/02/11,2021021103001151,45,1,100,165.0,16500.0
41,2021/02/10,2021021003021397,29,26,211,163.0,34393.0
43,2021/02/10,2021021003020798,49,35,45,162.0,7290.0
45,2021/02/10,2021021003019466,21,35,100,163.0,16300.0
47,2021/02/10,2021021003017775,34,55,62,164.0,10168.0
49,2021/02/10,2021021003014954,34,38,200,162.0,32400.0
51,2021/02/11,2021021103028118,22,51,370,162.0,59940.0
53,2021/02/11,2021021103027409,50,29,395,162.0,63990.0
55,2021/02/11,2021021103025761,53,34,90,162.0,14580.0
57,2021/02/11,2021021103025045,28,49,93,163.0,15159.0
59,2021/02/11,2021021103022664,45,17,50,161.0,8050.0
61,2021/02/11,2021021103020669,42,45,10,162.0,1620.0
63,2021/02/11,2021021103019409,58,49,20,163.0,3260.0
65,2021/02/11,2021021103018796,42,4,15,162.0,2430.0
67,2021/02/11,2021021103018382,26,49,1000,161.0,161000.0
69,2021/02/11,2021021103018378,14,49,330,161.0,53130.0
71,2021/02/11,2021021103016704,58,49,1000,162.0,162000.0
73,2021/02/11,2021021103016229,26,29,185,163.0,30155.0
75,2021/02/11,2021021103013879,48,6,52,162.0,8424.0
77,2021/02/11,2021021103012115,36,36,100,161.0,16100.0
79,2021/02/11,2021021103009295,58,21,150,162.0,24300.0
81,2021/02/11,2021021103006528,25,58,10,162.0,1620.0
83,2021/02/11,2021021103003415,38,35,10,160.0,1600.0
85,2021/02/11,2021021103002976,19,42,12,163.0,1956.0
87,2021/02/11,2021021103001928,33,45,195,168.0,32760.0
89,2021/02/11,2021021103001608,32,6,110,167.0,18370.0
91,2021/02/10,2021021003021561,29,26,337,163.0,54931.0
93,2021/02/10,2021021003021235,49,19,660,162.0,106920.0
95,2021/02/10,2021021003019467,22,35,30,163.0,4890.0
97,2021/02/10,2021021003017776,34,52,38,164.0,6232.0
99,2021/02/10,2021021003015042,7,38,10,162.0,1620.0
101,2021/02/11,2021021103028183,17,51,600,162.0,97200.0
103,2021/02/11,2021021103027613,50,51,105,162.0,17010.0
105,2021/02/11,2021021103026041,53,17,80,162.0,12960.0
107,2021/02/11,2021021103025109,20,42,10,162.0,1620.0
109,2021/02/11,2021021103022665,40,17,250,161.0,40250.0
111,2021/02/11,2021021103021034,58,45,15,162.0,2430.0
113,2021/02/11,2021021103020187,49,45,15,162.0,2430.0
115,2021/02/11,2021021103018797,49,4,135,162.0,21870.0
117,2021/02/11,2021021103018383,42,49,100,161.0,16100.0
119,2021/02/11,2021021103018379,55,49,111,161.0,17871.0
121,2021/02/11,2021021103016705,45,49,150,162.0,24300.0
123,2021/02/11,2021021103016230,26,58,150,163.0,24450.0
125,2021/02/11,2021021103015832,33,33,825,163.0,134475.0
127,2021/02/11,2021021103012116,14,36,10,161.0,1610.0
129,2021/02/11,2021021103010156,17,21,12,162.0,1944.0
131,2021/02/11,2021021103006552,51,58,40,161.0,6440.0
133,2021/02/11,2021021103003416,3,35,142,160.0,22720.0
135,2021/02/11,2021021103003328,19,19,200,163.0,32600.0
137,2021/02/11,2021021103001988,32,3,222,167.0,37074.0
139,2021/02/11,2021021103001609,32,52,168,167.0,28056.0
141,2021/02/10,2021021003022059,53,19,250,162.0,40500.0
143,2021/02/10,2021021003021336,29,49,500,163.0,81500.0
145,2021/02/10,2021021003020392,49,58,200,162.0,32400.0
147,2021/02/10,2021021003018643,53,52,100,164.0,16400.0
149,2021/02/10,2021021003015158,34,38,210,161.0,33810.0
151,2021/02/11,2021021103028769,58,51,355,162.0,57510.0
153,2021/02/11,2021021103027614,56,51,100,162.0,16200.0
155,2021/02/11,2021021103026208,41,49,100,163.0,16300.0
157,2021/02/11,2021021103025608,34,42,90,162.0,14580.0
159,2021/02/11,2021021103023746,20,41,30,162.0,4860.0
161,2021/02/11,2021021103021607,58,45,350,162.0,56700.0
163,2021/02/11,2021021103020270,49,45,10,162.0,1620.0
165,2021/02/11,2021021103019104,38,49,10,163.0,1630.0
167,2021/02/11,2021021103018384,42,49,10,161.0,1610.0
169,2021/02/11,2021021103018380,34,49,180,161.0,28980.0
171,2021/02/11,2021021103016921,49,49,1000,162.0,162000.0
173,2021/02/11,2021021103016231,26,49,40,163.0,6520.0
175,2021/02/11,2021021103015833,33,49,175,163.0,28525.0
177,2021/02/11,2021021103013049,21,21,100,162.0,16200.0
179,2021/02/11,2021021103011583,51,41,10,161.0,1610.0
181,2021/02/11,2021021103008207,45,45,10,162.0,1620.0
183,2021/02/11,2021021103003443,3,35,50,160.0,8000.0
185,2021/02/11,2021021103003413,19,35,988,163.0,161044.0
187,2021/02/11,2021021103002038,36,3,1000,166.0,166000.0
189,2021/02/11,2021021103001786,45,42,500,168.0,84000.0
191,2021/02/11,2021021103000614,4,49,50,164.0,8200.0
193,2021/02/10,2021021003021337,29,56,50,163.0,8150.0
195,2021/02/10,2021021003020536,10,35,325,163.0,52975.0
197,2021/02/10,2021021003019160,58,52,14,164.0,2296.0
199,2021/02/10,2021021003015897,58,55,10,164.0,1640.0
101,2021/02/10,2021021003014489,38,39,20,162.0,3240.0
103,2021/02/10,2021021003014204,37,14,90,163.0,14670.0
105,2021/02/10,2021021003010178,58,11,10,162.0,1620.0
