#,Date,Transact. No.,Buyer,Seller,Quantity,Rate,Amount
1,2021/02/11,2020000000000000,33,17,10,9099,90990
2,2021/02/11,2020000000000000,22,22,10,9000,90000
3,2021/02/11,2020000000000000,51,49,10,9000,90000
4,2021/02/11,2020000000000000,57,57,10,9016,90160
5,2021/02/11,2020000000000000,25,57,10,9016,90160
6,2021/02/11,2020000000000000,52,57,10,9016,90160
7,2021/02/11,2020000000000000,55,57,10,9050,90500
8,2021/02/11,2020000000000000,7,57,10,9050,90500
9,2021/02/11,2020000000000000,53,57,20,9051,181020
10,2021/02/11,2020000000000000,16,55,15,9051,135765
11,2021/02/11,2020000000000000,17,38,10,9056,90560
12,2021/02/11,2020000000000000,48,55,15,9100,136500
13,2021/02/11,2020000000000000,14,55,10,9065,90650
14,2021/02/11,2020000000000000,45,17,10,9100,91000
15,2021/02/11,2020000000000000,14,38,20,9100,182000
16,2021/02/11,2020000000000000,14,21,25,9233,230825
17,2021/02/11,2020000000000000,14,49,10,9233,92330
18,2021/02/11,2020000000000000,14,53,20,9226,184520
19,2021/02/11,2020000000000000,14,37,20,9200,184000
20,2021/02/11,2020000000000000,14,53,10,9199,91990
21,2021/02/11,2020000000000000,22,35,10,9057,90570
22,2021/02/11,2020000000000000,22,35,10,9052,90520
23,2021/02/11,2020000000000000,22,35,10,9052,90520
24,2021/02/11,2020000000000000,17,35,10,9053,90530
25,2021/02/11,2020000000000000,42,35,10,9054,90540
26,2021/02/11,2020000000000000,43,21,10,9046,90460
27,2021/02/11,2020000000000000,19,21,12,9035,108420
1,2021/02/14,2020000000000000,40,38,10,9080,90800
2,2021/02/14,2020000000000000,33,28,20,9000,180000
3,2021/02/14,2020000000000000,1,56,10,9000,90000
4,2021/02/14,2020000000000000,1,56,10,9000,90000
5,2021/02/14,2020000000000000,42,45,10,9095,90950
6,2021/02/14,2020000000000000,55,55,10,8918,89180
1,2021/02/15,2020000000000000,6,43,18,9611,172998
2,2021/02/15,2020000000000000,6,57,10,9423,94230
3,2021/02/15,2020000000000000,6,58,10,9400,94000
4,2021/02/15,2020000000000000,6,57,20,9300,186000
5,2021/02/15,2020000000000000,6,45,10,9250,92500
6,2021/02/15,2020000000000000,19,53,20,9239,184780
7,2021/02/15,2020000000000000,35,38,100,9200,920000
8,2021/02/15,2020000000000000,35,44,30,9200,276000
9,2021/02/15,2020000000000000,21,44,35,9185,321475
10,2021/02/15,2020000000000000,8,58,10,9184,91840
11,2021/02/15,2020000000000000,10,44,15,9185,137775
12,2021/02/15,2020000000000000,42,48,10,9101,91010
13,2021/02/15,2020000000000000,55,38,100,9100,910000
14,2021/02/15,2020000000000000,37,44,20,9200,184000
