#,Date,Transact. No,Buyer,Seller,Qty,Rate,Amount
1,2021/02/08,2021020803036412,35,45,50,208.0,10400.0
3,2021/02/08,2021020803034716,28,41,16,207.0,3312.0
5,2021/02/08,2021020803031376,11,11,20,208.0,4160.0
7,2021/02/08,2021020803030434,46,21,200,208.0,41600.0
9,2021/02/08,2021020803028692,39,21,10,208.0,2080.0
11,2021/02/08,2021020803027377,17,19,91,208.0,18928.0
13,2021/02/08,2021020803026702,39,25,10,208.0,2080.0
15,2021/02/08,2021020803024860,28,29,16,207.0,3312.0
17,2021/02/08,2021020803023207,35,25,30,208.0,6240.0
19,2021/02/08,2021020803023180,28,56,1214,208.0,252512.0
21,2021/02/08,2021020803020703,28,51,700,208.0,145600.0
23,2021/02/08,2021020803018514,28,56,1600,208.0,332800.0
25,2021/02/08,2021020803016484,55,56,650,209.0,135850.0
27,2021/02/08,2021020803014303,28,45,100,209.0,20900.0
29,2021/02/08,2021020803013328,55,44,200,207.0,41400.0
31,2021/02/08,2021020803010714,28,49,500,205.0,102500.0
33,2021/02/08,2021020803007039,38,36,200,208.0,41600.0
35,2021/02/08,2021020803004834,25,42,30,208.0,6240.0
37,2021/02/08,2021020803003129,8,21,140,210.0,29400.0
39,2021/02/07,2021020703032736,39,52,10,207.0,2070.0
41,2021/02/07,2021020703031989,52,52,490,206.0,100940.0
43,2021/02/07,2021020703031927,52,11,25,205.0,5125.0
45,2021/02/07,2021020703031923,52,10,529,205.0,108445.0
47,2021/02/07,2021020703031919,52,52,480,204.0,97920.0
49,2021/02/07,2021020703031479,8,13,120,202.0,24240.0
51,2021/02/08,2021020803036610,28,19,400,207.0,82800.0
53,2021/02/08,2021020803035258,39,45,10,208.0,2080.0
55,2021/02/08,2021020803031753,11,26,150,208.0,31200.0
57,2021/02/08,2021020803031024,17,21,42,208.0,8736.0
59,2021/02/08,2021020803029258,58,21,10,208.0,2080.0
61,2021/02/08,2021020803027478,49,19,122,208.0,25376.0
63,2021/02/08,2021020803027374,17,25,459,208.0,95472.0
65,2021/02/08,2021020803025556,28,33,200,207.0,41400.0
67,2021/02/08,2021020803023642,28,21,750,207.0,155250.0
69,2021/02/08,2021020803023204,28,25,201,208.0,41808.0
71,2021/02/08,2021020803020844,28,34,100,208.0,20800.0
73,2021/02/08,2021020803019029,28,11,50,208.0,10400.0
75,2021/02/08,2021020803016485,55,11,90,210.0,18900.0
77,2021/02/08,2021020803014919,55,13,42,207.0,8694.0
79,2021/02/08,2021020803014258,55,58,28,207.0,5796.0
81,2021/02/08,2021020803011314,58,49,10,207.0,2070.0
83,2021/02/08,2021020803007492,28,3,200,207.0,41400.0
85,2021/02/08,2021020803004835,52,42,170,208.0,35360.0
87,2021/02/08,2021020803003130,8,22,10,210.0,2100.0
89,2021/02/08,2021020803002316,33,8,10,210.0,2100.0
91,2021/02/07,2021020703031990,52,16,111,207.0,22977.0
93,2021/02/07,2021020703031928,52,43,490,205.0,100450.0
95,2021/02/07,2021020703031924,52,49,101,205.0,20705.0
97,2021/02/07,2021020703031920,52,34,80,204.0,16320.0
99,2021/02/07,2021020703031916,52,13,128,202.0,25856.0
101,2021/02/08,2021020803035989,39,45,10,208.0,2080.0
103,2021/02/08,2021020803031766,33,45,100,208.0,20800.0
105,2021/02/08,2021020803031375,11,56,42,208.0,8736.0
107,2021/02/08,2021020803030115,39,21,10,208.0,2080.0
109,2021/02/08,2021020803028673,28,57,28,207.0,5796.0
111,2021/02/08,2021020803027376,17,46,200,208.0,41600.0
113,2021/02/08,2021020803026066,28,49,200,207.0,41400.0
115,2021/02/08,2021020803024859,28,29,284,207.0,58788.0
117,2021/02/08,2021020803023206,38,25,200,208.0,41600.0
119,2021/02/08,2021020803021936,28,16,500,208.0,104000.0
121,2021/02/08,2021020803020002,28,8,30,208.0,6240.0
123,2021/02/08,2021020803016487,55,20,1000,210.0,210000.0
125,2021/02/08,2021020803016118,28,32,300,208.0,62400.0
127,2021/02/08,2021020803014302,28,52,2400,209.0,501600.0
129,2021/02/08,2021020803013327,55,49,430,207.0,89010.0
131,2021/02/08,2021020803008968,58,58,90,208.0,18720.0
133,2021/02/08,2021020803006840,28,45,100,207.0,20700.0
135,2021/02/08,2021020803003797,6,39,100,209.0,20900.0
137,2021/02/08,2021020803003128,8,45,250,210.0,52500.0
139,2021/02/07,2021020703032374,17,33,50,206.0,10300.0
141,2021/02/07,2021020703031952,39,52,10,206.0,2060.0
143,2021/02/07,2021020703031926,52,57,300,205.0,61500.0
145,2021/02/07,2021020703031922,52,52,500,205.0,102500.0
147,2021/02/07,2021020703031918,52,39,100,203.0,20300.0
149,2021/02/07,2021020703029409,8,13,60,203.0,12180.0
151,2021/02/08,2021020803035682,28,29,200,207.0,41400.0
153,2021/02/08,2021020803031765,11,45,350,208.0,72800.0
155,2021/02/08,2021020803031025,17,56,58,208.0,12064.0
157,2021/02/08,2021020803029873,28,45,255,207.0,52785.0
159,2021/02/08,2021020803027479,49,21,228,208.0,47424.0
