#,Date,Transact. No,Buyer,Seller,Qty,Rate,Amount
1,2021/02/11,2021021103027869,7,51,30,162.0,4860.0
3,2021/02/11,2021021103027408,53,22,105,162.0,17010.0
5,2021/02/11,2021021103025760,34,34,410,162.0,66420.0
7,2021/02/11,2021021103024152,33,49,500,163.0,81500.0
9,2021/02/11,2021021103021849,7,41,10,162.0,1620.0
11,2021/02/11,2021021103020422,53,22,200,162.0,32400.0
13,2021/02/11,2021021103019246,58,49,30,163.0,4890.0
15,2021/02/11,2021021103018385,7,49,94,161.0,15134.0
17,2021/02/11,2021021103018381,53,49,50,161.0,8050.0
19,2021/02/11,2021021103016933,14,21,10,161.0,1610.0
21,2021/02/11,2021021103016703,7,49,200,162.0,32400.0
23,2021/02/11,2021021103016228,26,49,125,163.0,20375.0
25,2021/02/11,2021021103013878,48,21,498,162.0,80676.0
27,2021/02/11,2021021103012114,53,7,50,161.0,8050.0
29,2021/02/11,2021021103009294,45,21,240,162.0,38880.0
31,2021/02/11,2021021103006407,14,58,200,162.0,32400.0
33,2021/02/11,2021021103003414,53,35,60,163.0,9780.0
35,2021/02/11,2021021103002118,41,3,90,166.0,14940.0
37,2021/02/11,2021021103001927,33,42,500,168.0,84000.0
39,2021/02/11,2021021103001151,7,1,100,165.0,16500.0
41,2021/02/10,2021021003021397,29,26,211,163.0,34393.0
43,2021/02/10,2021021003020798,49,35,45,162.0,7290.0
45,2021/02/10,2021021003019466,21,35,100,163.0,16300.0
47,2021/02/10,2021021003017775,34,55,62,164.0,10168.0
49,2021/02/10,2021021003014954,34,38,200,162.0,32400.0
51,2021/02/10,2021021103028118,7,51,370,162.0,59940.0
51,2021/02/10,2021021103028118,22,7,370,162.0,59940.0
51,2021/02/10,2021021103028118,22,7,370,162.0,59940.0
51,2021/02/10,2021021103028118,22,51,370,162.0,59940.0
51,2021/02/10,2021021103028118,53,51,370,162.0,59940.0
51,2021/02/10,2021021103028118,22,51,370,162.0,59940.0
51,2021/02/10,2021021103028118,53,51,370,162.0,59940.0
51,2021/02/10,2021021103028118,22,53,370,162.0,59940.0
51,2021/02/10,2021021103028118,22,53,370,162.0,59940.0
51,2021/02/10,2021021103028118,22,7,370,162.0,59940.0
51,2021/02/10,2021021103028118,53,51,370,162.0,59940.0
51,2021/02/10,2021021103028118,22,51,370,162.0,59940.0
51,2021/02/10,2021021103028118,22,53,370,162.0,59940.0
51,2021/02/10,2021021103028118,7,22,370,162.0,59940.0
