#,Date,Transact. No,Buyer,Seller,Qty,Rate,Amount
1,2021/02/01,2.02E+15,45,1,10,20001,200010
2,2021/02/01,2.02E+15,58,34,10,20002,200020
3,2021/02/01,2.02E+15,42,40,10,20245,202450
4,2021/02/01,2.02E+15,42,41,10,20245,202450
5,2021/02/01,2.02E+15,16,58,19,20245,384655
6,2021/02/01,2.02E+15,42,55,10,20003,200030
7,2021/02/01,2.02E+15,42,34,10,19849,198490
1,2021/02/02,2.02E+15,35,59,10,20000,200000
2,2021/02/02,2.02E+15,35,59,10,19800,198000
3,2021/02/02,2.02E+15,59,59,10,20200,202000
4,2021/02/02,2.02E+15,42,59,10,19997,199970
5,2021/02/02,2.02E+15,6,37,10,19605,196050
6,2021/02/02,2.02E+15,6,42,10,20000,200000
1,2021/02/03,2.02E+15,44,50,10,19600,196000
2,2021/02/03,2.02E+15,38,50,10,19700,197000
3,2021/02/03,2.02E+15,38,49,10,19700,197000
4,2021/02/03,2.02E+15,38,51,10,19700,197000
1,2021/02/04,2.02E+15,38,7,10,19800,198000
2,2021/02/04,2.02E+15,56,39,10,19401,194010
3,2021/02/04,2.02E+15,56,16,20,19500,390000
4,2021/02/04,2.02E+15,52,34,20,19500,390000
5,2021/02/04,2.02E+15,14,41,10,19500,195000
6,2021/02/04,2.02E+15,58,14,10,19550,195500
7,2021/02/04,2.02E+15,42,14,10,19650,196500
1,2021/02/07,2.02E+15,13,6,10,20022,200220
2,2021/02/07,2.02E+15,37,54,10,20400,204000
3,2021/02/07,2.02E+15,21,13,10,20430,204300
4,2021/02/07,2.02E+15,28,13,18,20300,365400
5,2021/02/07,2.02E+15,13,49,10,20196,201960
6,2021/02/07,2.02E+15,13,45,10,20150,201500
7,2021/02/07,2.02E+15,13,39,10,20000,200000
8,2021/02/07,2.02E+15,13,44,10,20000,200000
9,2021/02/07,2.02E+15,13,7,10,20000,200000
1,2021/02/08,2.02E+15,13,47,10,19990,199900
2,2021/02/08,2.02E+15,41,34,10,19985,199850
3,2021/02/08,2.02E+15,34,58,10,20000,200000
4,2021/02/08,2.02E+15,13,58,10,20000,200000
5,2021/02/08,2.02E+15,13,50,10,20000,200000
6,2021/02/08,2.02E+15,41,50,10,20000,200000
1,2021/02/09,2.02E+15,13,41,10,20150,201500
2,2021/02/09,2.02E+15,55,50,10,20000,200000
1,2021/02/10,2.02E+15,42,22,10,20100,201000
2,2021/02/10,2.02E+15,42,45,10,20000,200000
3,2021/02/10,2.02E+15,49,32,10,19900,199000
4,2021/02/10,2.02E+15,58,18,10,20100,201000
5,2021/02/10,2.02E+15,42,18,10,20149,201490
